SemanaId;OrganizacionId;TipoOperacionId;EstadoId;Cantidad;Volumen
202539;15;5;2;2026;738264878.96
202539;16;1;2;5;76900
202539;16;2;2;5;3088305
202539;16;3;2;141;5371140.71
202539;16;3;3;9;180664.10
202539;18;2;2;291;269669883.82
202539;18;3;2;12621;265213090.56
202539;18;3;3;138;2599771.43
202539;18;3;6;10;297442.35
202539;19;1;2;10;2663911.30
202539;19;2;2;51;9500800
202539;20;1;2;54;8802579.07
202539;20;1;3;3;662572.04
202539;20;2;2;111;16930787.06
202539;20;9;2;42;7822885
202539;20;9;5;32;5202847.72
202539;20;10;2;24;4297.30
202539;22;1;2;4;31964708.73
202539;22;2;2;4;31964708.73
202539;24;1;2;17330;1419186569.63
202539;24;1;3;151;17012103.55
202539;24;2;2;17195;1645441693.83
202539;24;3;2;1229;18342768.16
202539;24;3;3;35;458205.38
202539;24;3;6;4;354881.34
202539;24;4;2;17;1294777
202539;24;5;2;17;1294777
202539;25;1;2;16;16
202539;25;2;2;16;215
202539;25;4;2;3;199
202539;25;5;2;3;199
202539;28;1;2;5;62063705.88
202539;28;2;2;200;51552399.96
202539;29;2;2;1;1100000
202539;29;3;2;3;30630
202539;30;1;2;2;2878282.94
202539;30;2;2;48;5212107.79
202539;30;4;2;3;2878282.94
202539;30;5;2;3;2878282.94
202539;31;1;2;15;1901
202539;31;2;2;9;1679.50
202539;32;1;2;1;59600
202539;32;1;3;3;30
202539;32;2;2;2;100009.90
202539;32;3;2;2;110
202539;32;4;2;32;4947
202539;32;5;2;32;4947
202539;33;1;2;1;1
202539;33;9;2;5;144093
202539;33;9;3;2;31000
202540;3;1;2;1;1
202540;3;3;2;19;58.10
202540;3;3;3;6;8.40
202540;3;3;6;6;26.40
202540;3;3;7;1;3.30
202540;4;1;2;38579;8855112162.40
202540;4;1;3;78;10638990.48
202540;4;2;2;82305;14456467791.10
202540;4;3;2;2534;49270590.22
202540;4;3;3;62;1583729.05
202540;4;3;6;2;57845.81
202540;4;4;2;206;31740039.36
202540;4;5;2;206;31740039.36
202540;5;1;2;858928;43237902214.22
202540;5;1;3;3116;348167949.52
202540;5;2;2;1826873;50218293506.14
202540;5;3;2;43153;653865486.76
202540;5;3;3;1461;27803285.56
202540;5;3;6;52;3343655.65
202540;5;3;7;2;91170
202540;5;4;2;853;64612445.84
202540;5;5;2;853;64612445.84
202540;6;2;2;3;200000000
202540;6;3;2;8766;184820791.40
202540;6;3;3;400;11065934.47
202540;6;3;6;63;1890519.05
202540;6;3;7;1;35200
202540;8;1;2;76;205862154.43
202540;8;1;3;3;96581021.83
202540;8;2;2;565;217854984.70
202540;9;1;2;3695;44566686.30
202540;9;1;3;12;114250
202540;9;2;2;9405;106391292.12
202540;9;3;2;919;25888219.62
202540;9;3;3;18;973576
202540;9;3;6;15;442.50
202540;9;3;7;2;4
202540;9;4;2;52;2030473
202540;9;5;2;52;2030473
202540;9;7;2;9468;33707169
202540;11;1;3;1;4000
202540;13;1;2;874;117881886.17
202540;13;2;2;46;17900697.30
202540;13;3;2;2;9400
202540;13;4;2;7;963700.42
202540;13;5;2;7;963700.42
202540;14;1;2;473;233032142.30
202540;14;1;3;11;725848.74
202540;14;2;2;788;237098052
202540;14;3;2;30;525701.19
202540;14;3;3;1;14300
202540;14;4;2;1436;291035685.97
202540;14;5;2;1436;291035685.97
202540;15;1;2;2605;1031827273.60
202540;15;1;3;33;37593254.96
202540;15;2;2;3124;1120480468.32
202540;15;3;2;6;9140
202540;15;4;2;1894;1010530026.55
202540;15;5;2;1894;1010530026.55
202540;16;1;2;10;27901.98
202540;16;2;2;3;5027456
202540;16;3;2;127;4108276.30
202540;16;3;3;7;253573.10
202540;16;3;6;1;21332.46
202540;18;2;2;370;243287780.61
202540;18;3;2;11504;253246646.77
202540;18;3;3;215;22287689.66
202540;18;3;6;26;1107992.30
202540;19;1;2;10;1569271.84
202540;19;2;2;46;6083900
202540;20;1;2;114;17521171.69
202540;20;2;2;121;10844159.89
202540;20;9;2;43;6197809.71
202540;20;9;5;35;3424890.91
202540;20;10;2;72;11059.87
202540;22;1;2;2;183939.30
202540;22;1;3;2;367878.60
202540;22;2;2;1;183939.30
202540;24;1;2;33267;8153950167.30
202540;24;1;3;1415;5256966217.56
202540;24;2;2;41685;9627772272.80
202540;24;3;2;2513;37530610.36
202540;24;3;3;92;1222111.60
