SemanaId;OrganizacionId;Cantidad
202623;50;2351
202623;52;5
202623;60;1
202624;3;8
202624;4;4339
202624;9;562
202624;14;1092
202624;16;6266
202624;24;9904
202624;27;1
202624;30;16
202624;31;16
202624;33;52
202624;37;34
202624;42;1
202624;43;330
202624;47;42
202624;48;2
202624;49;5
202624;50;2539
202624;51;3
202624;52;15
202624;54;2
202624;56;494
202624;58;1
202624;60;2
202625;3;2
202625;4;5142
202625;9;589
202625;14;204
202625;16;4453
202625;24;8855
202625;27;10
202625;30;19
202625;31;26
202625;33;360
202625;37;37
202625;43;1381
202625;47;8
202625;48;1
202625;49;2
202625;50;2585
202625;52;10
202626;3;3
202626;4;4605
202626;9;545
202626;14;175
202626;16;3915
202626;24;8529
202626;27;3
202626;30;7
202626;31;9
202626;33;826
202626;37;476
202626;43;599
202626;47;17
202626;49;4
202626;50;2696
202626;52;20
202626;60;1
202626;61;1
202626;63;1
202627;3;3
202627;4;6315
202627;9;442
202627;14;177
202627;16;3632
202627;24;8767
202627;27;2
202627;30;6
202627;31;21
202627;33;696
202627;37;798
202627;42;2
202627;43;511
202627;47;86
202627;49;2
202627;50;3102
202627;52;16
202627;60;6
202627;61;1
202627;63;3
202628;3;8
202628;4;7401
202628;9;511
202628;14;199
202628;16;4306
202628;24;8970
202628;27;2
202628;30;13
202628;31;30
202628;33;848
202628;37;1030
202628;43;918
202628;47;45
202628;50;2693
